Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
1,(FASnI3)0.6(MAPbI3)0.4,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
2,(FASnI3)0.6(MAPbI3)0.34(MAPbBr3)0.06,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.06,0.94,1.00,0.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.19,449.96,379.45,4.82,124.08,297.06,1016.29,7.61,20.53,2.68,51.92,4.94
3,MA0.3FA0.7Pb0.5Sn0.5I3,0.00,0.00,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.42,303.40,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.60,7.70,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
4,FA0.5MA0.45Cs0.05Pb0.5Sn0.5I3,0.00,0.00,0.05,0.45,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.33,326.85,273.37,0.96,43.60,10.48,860.17,6.11,28.62,2.47,81.10,7.45,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
5,Cs0.025FA0.475MA0.5Sn0.5Pb0.5I3,0.00,0.00,0.03,0.50,0.47,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.33,308.62,266.01,0.92,40.76,9.56,875.86,6.20,27.39,2.52,81.10,7.45,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
6,FASn0.5Pb0.5I3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
7,(FASnI3)0.6(MAPbI3)0.3(MAPbBr3)0.1,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.10,0.90,1.00,0.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.18,444.94,374.63,4.75,122.20,298.23,1021.55,7.51,20.28,2.69,51.20,4.90
8,FA0.5MA0.5Pb0.5Sn0.5I3,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.35,293.00,267.32,0.90,38.56,8.64,887.70,6.31,26.43,2.56,82.00,7.50,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
9,CsSnI3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.15,2876.00,505.12,7.31,118.71,121.00,708.60,7.20,290.37,1.96,50.00,5.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
10,MASnI3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.15,2876.00,505.12,7.31,118.71,121.00,708.60,7.20,290.37,1.96,50.00,5.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
