Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,PBE,HSE,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
35504,CsBa0.125Ca0.125Pb0.375Sn0.125Sr0.250I3,0,0,1,0,0,0.13,0.25,0.13,0,0.13,0.38,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,2011.25,813.13,6.45,136.62,-11.63,630.85,6.81,174.09,1.59,56,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35505,CsBa0.125Ca0.125Pb0.375Sn0.125Sr0.250Cl3,0,0,1,0,0,0.13,0.25,0.13,0,0.13,0.38,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,2011.25,813.13,6.45,136.62,-11.63,630.85,6.81,174.09,1.59,56,5.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35506,CsBa0.125Ca0.125Pb0.375Sn0.125Sr0.250Br3,0,0,1,0,0,0.13,0.25,0.13,0,0.13,0.38,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,2011.25,813.13,6.45,136.62,-11.63,630.85,6.81,174.09,1.59,56,5.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35507,CsBa0.125Ca0.125Pb0.375Sn0.250Sr0.125I3,0,0,1,0,0,0.13,0.13,0.13,0,0.25,0.38,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2163.88,746.02,7.04,140.51,24.5,650.74,6.68,193.28,1.72,57.5,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35508,CsBa0.125Ca0.125Pb0.375Sn0.250Sr0.125Cl3,0,0,1,0,0,0.13,0.13,0.13,0,0.25,0.38,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2163.88,746.02,7.04,140.51,24.5,650.74,6.68,193.28,1.72,57.5,5.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35509,CsBa0.125Ca0.125Pb0.375Sn0.250Sr0.125Br3,0,0,1,0,0,0.13,0.13,0.13,0,0.25,0.38,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2163.88,746.02,7.04,140.51,24.5,650.74,6.68,193.28,1.72,57.5,5.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35510,CsBa0.125Ca0.125Pb0.375Sn0.375I3,0,0,1,0,0,0.13,0,0.13,0,0.38,0.38,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2316.5,678.91,7.64,144.39,60.63,670.63,6.56,212.46,1.84,59,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35511,CsBa0.125Ca0.125Pb0.375Sn0.375Cl3,0,0,1,0,0,0.13,0,0.13,0,0.38,0.38,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2316.5,678.91,7.64,144.39,60.63,670.63,6.56,212.46,1.84,59,5.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35512,CsBa0.125Ca0.125Pb0.375Sn0.375Br3,0,0,1,0,0,0.13,0,0.13,0,0.38,0.38,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2316.5,678.91,7.64,144.39,60.63,670.63,6.56,212.46,1.84,59,5.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35513,CsBa0.125Ca0.125Pb0.500Sr0.250I3,0,0,1,0,0,0.13,0.25,0.13,0,0,0.5,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,1904.63,825.08,6.95,147.68,-13,631.71,6.5,160.03,1.64,60,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
